close, open, high, low, volume, atr14, psar, close_diff, ema_fast, ema_slow, ema_fast_diff, price_v_close, bar_time, position, alpha_imp1_ema_up, alpha_imp2_ema_pos_x, alpha_imp3_psar_up, alpha_imp4_close_up, alpha_imp6_price_v_close_thres, short_rev_imp1_rev_box, short_rev_imp2_ema_neg, short_rev_imp3_ema_neg_x, short_rev_imp4_close_neg, long_rev_imp1_rev_box, long_rev_imp2_ema_pos, long_rev_imp3_ema_pos_x, long_rev_imp4_close_pos, ,
21.32,21.46,21.48,21.32,14034,6.1286,21.1928,-0.14,21.31464053,9.56225,0.001339866, , 2019-06-25 11:10:00, FLAT, , , , , , , , , , , , , , , 
21.4,21.3,21.4,21.3,12550,6.1286,21.224288,0.08,21.33171243,10.68965476,0.017071893, , 2019-06-25 11:15:00, FLAT, , , , , , , , , , , , , , , 
21.39,21.4,21.46,21.37,7900,6.1286,21.25451648,-0.01,21.34336994,11.70873526,0.011657514, , 2019-06-25 11:20:00, FLAT, , , , , , , , , , , , , , , 
21.4,21.385,21.41,21.37,2412,6.1286,21.28353582,0.01,21.35469595,12.63171286,0.011326012, , 2019-06-25 11:25:00, FLAT, , , , , , , , , , , , , , , 
21.34,21.41,21.45,21.31,5581,6.1286,21.98,-0.06,21.35175676,13.46107354,-0.002939191, , 2019-06-25 11:30:00, FLAT, , , , , , , , , , , , , , , 
21.35,21.37,21.43,21.35,4100,6.1286,21.9733,0.01,21.35140541,14.21239987,-0.000351353, , 2019-06-25 11:35:00, FLAT, , , , , , , , , , , , , , , 
21.37,21.35,21.38,21.29,5602,6.1286,21.966667,0.02,21.35512433,14.89407607,0.003718918, , 2019-06-25 11:40:00, FLAT, , , , , , , , , , , , , , , 
21.405,21.37,21.42,21.35,32737,6.1286,21.95313366,0.035,21.36509946,15.51416406,0.009975134, , 2019-06-25 11:45:00, FLAT, , , , , , , , , , , , , , , 
21.175,21.405,21.405,21.175,9235,6.1286,21.93987099,-0.23,21.32707957,16.05329129,-0.038019893, , 2019-06-25 11:50:00, FLAT, , , , , , , , , , , , , , , 
21.28,21.16,21.3,21.14,39956,6.1286,21.91692486,0.105,21.31766366,16.55107308,-0.009415914, , 2019-06-25 11:55:00, FLAT, , , , , , , , , , , , , , , 
