close, open, high, low, volume, atr14, psar, close_diff, ema_fast, ema_slow, ema_fast_diff, price_v_close, bar_time, position, alpha_imp1_ema_up, alpha_imp2_ema_pos_x, alpha_imp3_psar_up, alpha_imp4_close_up, alpha_imp6_price_v_close_thres, short_rev_imp1_rev_box, short_rev_imp2_ema_neg, short_rev_imp3_ema_neg_x, short_rev_imp4_close_neg, long_rev_imp1_rev_box, long_rev_imp2_ema_pos, long_rev_imp3_ema_pos_x, long_rev_imp4_close_pos, 
8.4900, 8.4600, 8.4900, 8.4600, 200, 7.7514, 8.538780936, 0.090000000, 8.454832550, 3.804000000, 0.008791862, , 2019-08-14 10:27:00, FLAT, , , , , , , , , , , , , , , 
8.4900, 8.4900, 8.4900, 8.4900, 300, 7.7514, 8.531917508, 0.000000000, 8.461866040, 4.250285714, 0.007033490, , 2019-08-14 10:30:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.5000, 8.5200, 8.5000, 13000, 7.7514, 8.525259982, 0.010000000, 8.469492832, 4.655020408, 0.007626792, , 2019-08-14 10:33:00, FLAT, , , , , , , , , , , , , , , 
8.5400, 8.5000, 8.5400, 8.5000, 5800, 7.7514, 8.310000000, 0.040000000, 8.483594266, 5.025018465, 0.014101434, , 2019-08-14 10:36:00, FLAT, , , , , , , , , , , , , , , 
8.4500, 8.5100, 8.5100, 8.4500, 18000, 7.7514, 8.312300000, -0.090000000, 8.476875412, 5.351207182, -0.006718853, , 2019-08-14 10:39:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.4500, 8.5000, 8.4500, 5916, 7.7514, 8.314577000, 0.050000000, 8.481500330, 5.651092212, 0.004624918, , 2019-08-14 10:42:00, FLAT, , , , , , , , , , , , , , , 
8.4900, 8.4800, 8.4900, 8.4800, 2200, 7.7514, 8.316831230, -0.010000000, 8.483200264, 5.921464383, 0.001699934, , 2019-08-14 10:45:00, FLAT, , , , , , , , , , , , , , , 
8.4900, 8.4900, 8.4900, 8.4900, 0, 7.7514, 8.319062918, 0.000000000, 8.484560211, 6.166086822, 0.001359947, , 2019-08-14 10:48:00, FLAT, , , , , , , , , , , , , , , 
8.4500, 8.4500, 8.4500, 8.4500, 100, 7.7514, 8.321272289, -0.040000000, 8.477648169, 6.383602363, -0.006912042, , 2019-08-14 10:51:00, FLAT, , , , , , , , , , , , , , , 
8.4800, 8.4500, 8.4800, 8.4500, 200, 7.7514, 8.323459566, 0.030000000, 8.478118535, 6.583259281, 0.000470366, , 2019-08-14 10:54:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.4800, 8.5000, 8.4600, 16800, 7.7514, 8.325624970, 0.020000000, 8.482494828, 6.765806016, 0.004376293, , 2019-08-14 10:57:00, FLAT, , , , , , , , , , , , , , , 
8.5400, 8.5000, 8.5400, 8.5000, 9900, 7.7514, 8.327768720, 0.040000000, 8.493995863, 6.934776872, 0.011501034, , 2019-08-14 11:00:00, FLAT, , , , , , , , , , , , , , , 
8.5400, 8.5400, 8.5400, 8.5400, 0, 7.7514, 8.329891033, 0.000000000, 8.503196690, 7.087655265, 0.009200827, , 2019-08-14 11:03:00, FLAT, , , , , , , , , , , , , , , 
8.5300, 8.5200, 8.5300, 8.5200, 900, 7.7514, 8.331992123, -0.010000000, 8.508557352, 7.225021430, 0.005360662, , 2019-08-14 11:06:00, FLAT, , , , , , , , , , , , , , , 
8.8500, 8.5400, 8.8500, 8.5400, 300, 7.7514, 8.334072202, 0.320000000, 8.576845882, 7.379781294, 0.068288530, , 2019-08-14 11:09:00, FLAT, , , , , , , , , , , , , , , 
8.7500, 8.7500, 8.8950, 8.7000, 10885, 7.7514, 8.344390757, -0.100000000, 8.611476705, 7.510278314, 0.034630824, , 2019-08-14 11:12:00, FLAT, , , , , , , , , , , , , , , 
8.7000, 8.7500, 8.8200, 8.7000, 7578, 7.7514, 8.360909035, -0.050000000, 8.629181364, 7.623585141, 0.017704659, , 2019-08-14 11:15:00, FLAT, , , , , , , , , , , , , , , 
8.6900, 8.7100, 8.7100, 8.6800, 7000, 7.7514, 8.376931764, -0.010000000, 8.641345091, 7.725148461, 0.012163727, , 2019-08-14 11:18:00, FLAT, , , , , , , , , , , , , , , 
8.6800, 8.6900, 8.6900, 8.6800, 200, 7.7514, 8.392473811, -0.010000000, 8.649076073, 7.816086703, 0.007730982, , 2019-08-14 11:21:00, FLAT, , , , , , , , , , , , , , , 
8.6600, 8.6700, 8.6700, 8.6600, 900, 7.7514, 8.407549596, -0.020000000, 8.651260858, 7.896459398, 0.002184785, , 2019-08-14 11:24:00, FLAT, , , , , , , , , , , , , , , 
8.5799, 8.6000, 8.6000, 8.5700, 9900, 7.7514, 8.422173109, -0.080100000, 8.636988687, 7.961548979, -0.014272172, , 2019-08-14 11:27:00, FLAT, , , , , , , , , , , , , , , 
8.5799, 8.5799, 8.5799, 8.5799, 0, 7.7514, 8.436357915, 0.000000000, 8.625570949, 8.020439552, -0.011417737, , 2019-08-14 11:30:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.5000, 8.5000, 8.5000, 100, 7.7514, 8.450117178, -0.079900000, 8.600456760, 8.066111976, -0.025114190, , 2019-08-14 11:33:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.5000, 8.5000, 8.5000, 0, 7.7514, 8.463463663, 0.000000000, 8.580365408, 8.107434645, -0.020091352, , 2019-08-14 11:36:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.5000, 8.5000, 8.5000, 0, 7.7514, 8.476409753, 0.000000000, 8.564292326, 8.144821821, -0.016073082, , 2019-08-14 11:39:00, FLAT, , , , , , , , , , , , , , , 
8.5350, 8.5100, 8.5398, 8.5100, 300, 7.7514, 8.488967460, 0.035000000, 8.558433861, 8.181981648, -0.005858465, , 2019-08-14 11:42:00, FLAT, , , , , , , , , , , , , , , 
8.5350, 8.5350, 8.5350, 8.5350, 0, 7.7514, 8.500000000, 0.000000000, 8.553747089, 8.215602443, -0.004686772, , 2019-08-14 11:45:00, FLAT, , , , , , , , , , , , , , , 
8.5000, 8.5000, 8.5000, 8.4700, 13400, 7.7514, 8.895000000, -0.035000000, 8.542997671, 8.242687925, -0.010749418, , 2019-08-14 11:48:00, FLAT, , , , , , , , , , , , , , , 
