close, open, high, low, volume, atr14, psar, close_diff, ema_fast, ema_slow, ema_fast_diff, price_v_close, bar_time, position, alpha_imp1_ema_up, alpha_imp2_ema_pos_x, alpha_imp3_psar_up, alpha_imp4_close_up, alpha_imp6_price_v_close_thres, short_rev_imp1_rev_box, short_rev_imp2_ema_neg, short_rev_imp3_ema_neg_x, short_rev_imp4_close_neg, long_rev_imp1_rev_box, long_rev_imp2_ema_pos, long_rev_imp3_ema_pos_x, long_rev_imp4_close_pos, ,
21.8,21.7753,21.84,21.76,60834,6.3529,21.07909042,0.04,21.63757232,9.74175,0.04060692, , 2019-06-25 11:00:00, FLAT, , , , , , , , , , , , , , , 
21.825,21.79,21.84,21.67,57926,6.3529,21.10221771,0.025,21.67505786,10.89253571,0.037485536, , 2019-06-25 11:05:00, FLAT, , , , , , , , , , , , , , , 
21.87,21.82,21.89,21.78,78720,6.3529,21.12465118,0.045,21.71404629,11.9380085,0.038988428, , 2019-06-25 11:10:00, FLAT, , , , , , , , , , , , , , , 
22,21.87,22.06,21.87,180616,6.3529,21.15526513,0.13,21.77123703,12.89629341,0.057190743, , 2019-06-25 11:15:00, FLAT, , , , , , , , , , , , , , , 
22.0301,22,22.09,21.99,71982,6.3529,21.20050187,0.0301,21.82300962,13.76617975,0.051772594, , 2019-06-25 11:20:00, FLAT, , , , , , , , , , , , , , , 
22.039,22.03,22.08,21.97,48487,6.3529,21.25387176,0.0089,21.8662077,14.55406739,0.043198075, , 2019-06-25 11:25:00, FLAT, , , , , , , , , , , , , , , 
21.91,22.0347,22.0347,21.84,118461,6.3529,21.30403946,-0.129,21.87496616,15.2546324,0.00875846, , 2019-06-25 11:30:00, FLAT, , , , , , , , , , , , , , , 
21.96,21.91,21.97,21.895,76470,6.3529,21.35119709,0.05,21.89197293,15.89323884,0.017006768, , 2019-06-25 11:35:00, FLAT, , , , , , , , , , , , , , , 
21.99,21.95,21.99,21.9,20193,6.3529,21.39552526,0.03,21.91157834,16.47388276,0.019605415, , 2019-06-25 11:40:00, FLAT, , , , , , , , , , , , , , , 
22,21.99,22,21.96,74710,6.3529,21.43719375,0.01,21.92926267,17.00017964,0.017684332, , 2019-06-25 11:45:00, FLAT, , , , , , , , , , , , , , , 
22,21.995,22.01,21.96,84247,6.3529,21.47636212,0,21.94341014,17.47635301,0.014147465, , 2019-06-25 11:50:00, FLAT, , , , , , , , , , , , , , , 
22,22,22.09,21.97,368666,6.3529,21.5131804,0,21.95472811,17.90717653,0.011317972, , 2019-06-25 11:55:00, FLAT, , , , , , , , , , , , , , , 
22.17,22,22.17,21.99,73194,6.3529,21.54778957,0.17,21.99778249,18.31315972,0.043054378, , 2019-06-25 12:00:00, FLAT, , , , , , , , , , , , , , , 
22.14,22.17,22.21,22.09,40581,6.3529,21.5913443,-0.03,22.02622599,18.6776207,0.028443502, , 2019-06-25 12:05:00, FLAT, , , , , , , , , , , , , , , 
22.09,22.1367,22.1517,22.07,24257,6.3529,21.64083676,-0.05,22.03898079,19.0026092,0.012754802, , 2019-06-25 12:10:00, FLAT, , , , , , , , , , , , , , , 
22.02,22.09,22.11,22,47049,6.3529,21.68636982,-0.07,22.03518463,19.28997976,-0.003796159, , 2019-06-25 12:15:00, FLAT, , , , , , , , , , , , , , , 
21.87,22.03,22.03,21.73,116325,6.3529,21.72826023,-0.15,22.00214771,19.53569597,-0.033036927, , 2019-06-25 12:20:00, FLAT, , , , , , , , , , , , , , , 
21.9624,21.88,21.97,21.86,25061,6.3529,21.73,0.0924,21.99419817,19.76681064,-0.007949541, , 2019-06-25 12:25:00, FLAT, , , , , , , , , , , , , , , 
21.995,21.97,22,21.95,42462,6.3529,21.73,0.0326,21.99435853,19.97901915,0.000160367, , 2019-06-25 12:30:00, FLAT, , , , , , , , , , , , , , , 
21.995,21.995,22.005,21.98,21548,6.3529,21.7684,0,21.99448683,20.17101733,0.000128293, , 2019-06-25 12:35:00, FLAT, , , , , , , , , , , , , , , 
21.995,22,22.01,21.985,38998,6.3529,21.803728,0,21.99458946,20.34472996,0.000102635, , 2019-06-25 12:40:00, FLAT, , , , , , , , , , , , , , , 
21.995,21.99,22.01,21.98,30191,6.3529,21.83622976,0,21.99467157,20.50189854,0.000082108, , 2019-06-25 12:45:00, FLAT, , , , , , , , , , , , , , , 
21.97,21.995,22,21.94,51513,6.3529,21.86613138,-0.025,21.98973726,20.64171772,-0.004934314, , 2019-06-25 12:50:00, FLAT, , , , , , , , , , , , , , , 
21.95,21.97,21.98,21.95,21662,6.3529,21.89364087,-0.02,21.9817898,20.76631604,-0.007947451, , 2019-06-25 12:55:00, FLAT, , , , , , , , , , , , , , , 
21.955,21.94,21.955,21.9,24616,6.3529,22.21,0.005,21.97643184,20.87952403,-0.005357961, , 2019-06-25 13:00:00, FLAT, , , , , , , , , , , , , , , 
21.93,21.9599,21.98,21.93,30526,6.3529,22.2069,-0.025,21.96714548,20.97956936,-0.009286369, , 2019-06-25 13:05:00, FLAT, , , , , , , , , , , , , , , 
21.94,21.93,21.961,21.92,224522,6.3529,22.203831,0.01,21.96171638,21.07103895,-0.005429095, , 2019-06-25 13:10:00, FLAT, , , , , , , , , , , , , , , 
21.98,21.95,21.99,21.945,39583,6.3529,22.20079269,0.04,21.9653731,21.15760667,0.003656724, , 2019-06-25 13:15:00, FLAT, , , , , , , , , , , , , , , 
21.97,21.985,22,21.94,54001,6.3529,22.19778476,-0.01,21.96629848,21.23497746,0.000925379, , 2019-06-25 13:20:00, FLAT, , , , , , , , , , , , , , , 
21.99,21.96,22.01,21.953,76988,6.3529,22.19480692,0.02,21.97103879,21.30688437,0.004740303, , 2019-06-25 13:25:00, FLAT, , , , , , , , , , , , , , , 
21.99,21.995,22.09,21.97,98601,6.3529,22.19185885,0,21.97483103,21.371943,0.003792243, , 2019-06-25 13:30:00, FLAT, , , , , , , , , , , , , , , 
22,21.99,22.005,21.99,19549,6.3529,22.18894026,0.01,21.97986482,21.43175795,0.005033794, , 2019-06-25 13:35:00, FLAT, , , , , , , , , , , , , , , 
21.91,22,22.015,21.85,108805,6.3529,22.18605086,-0.09,21.96589186,21.47730481,-0.013972965, , 2019-06-25 13:40:00, FLAT, , , , , , , , , , , , , , , 
21.92,21.91,21.93,21.89,15943,6.3529,22.17932984,0.01,21.95671349,21.51946626,-0.009178372, , 2019-06-25 13:45:00, FLAT, , , , , , , , , , , , , , , 
21.915,21.925,21.96,21.9,19279,6.3529,22.17274324,-0.005,21.94837079,21.55713614,-0.008342697, , 2019-06-25 13:50:00, FLAT, , , , , , , , , , , , , , , 
21.905,21.915,21.94,21.9,20866,6.3529,22.16628838,-0.01,21.93969663,21.59026603,-0.008674158, , 2019-06-25 13:55:00, FLAT, , , , , , , , , , , , , , , 
21.805,21.905,21.915,21.8,30210,6.3529,22.15996261,-0.1,21.91275731,21.61071689,-0.026939326, , 2019-06-25 14:00:00, FLAT, , , , , , , , , , , , , , , 
21.81,21.8,21.84,21.795,39628,6.3529,22.14916373,0.005,21.89220584,21.62969623,-0.020551461, , 2019-06-25 14:05:00, FLAT, , , , , , , , , , , , , , , 
21.87,21.81,21.8775,21.81,43718,6.3529,22.13499718,0.06,21.88776468,21.6525823,-0.004441169, , 2019-06-25 14:10:00, FLAT, , , , , , , , , , , , , , , 
21.845,21.87,21.87,21.84,41124,6.3529,22.12139729,-0.025,21.87921174,21.6709078,-0.008552935, , 2019-06-25 14:15:00, FLAT, , , , , , , , , , , , , , , 
21.86,21.84,21.88,21.83,44382,6.3529,22.1083414,0.015,21.87536939,21.68891658,-0.003842348, , 2019-06-25 14:20:00, FLAT, , , , , , , , , , , , , , , 
21.78,21.85,21.86,21.78,38883,6.3529,22.09580775,-0.08,21.85629551,21.69759119,-0.019073878, , 2019-06-25 14:25:00, FLAT, , , , , , , , , , , , , , , 
21.785,21.785,21.84,21.78,20866,6.3529,22.08001736,0.005,21.84203641,21.70591584,-0.014259103, , 2019-06-25 14:30:00, FLAT, , , , , , , , , , , , , , , 
21.73,21.78,21.8,21.71,42149,6.3529,22.06501649,-0.055,21.81962913,21.70820957,-0.022407282, , 2019-06-25 14:35:00, FLAT, , , , , , , , , , , , , , , 
21.64,21.73,21.75,21.64,140743,6.3529,22.0437155,-0.09,21.7837033,21.70171342,-0.035925826, , 2019-06-25 14:40:00, FLAT, , , , , , , , , , , , , , , 
21.515,21.64,21.64,21.467,66133,6.3529,22.01545542,-0.125,21.72996264,21.68393119,-0.053740661, , 2019-06-25 14:45:00, FLAT, , , , , , , , , , , , , , , 
21.4272,21.515,21.515,21.41,38159,6.3529,21.97157898,-0.0878,21.66941011,21.6594806,-0.060552528, , 2019-06-25 14:50:00, FLAT, , , , , , , , , , , , , , , 
21.5135,21.425,21.54,21.425,67101,6.3529,21.92103688,0.0863,21.63822809,21.64557769,-0.031182023, , 2019-06-25 14:55:00, FLAT, , , , , , , , , , , , , , , 
21.505,21.51,21.53,21.49,56469,6.3529,21.87504356,-0.0085,21.61158247,21.63218933,-0.026645618, , 2019-06-25 15:00:00, FLAT, , , , , , , , , , , , , , , 
21.5275,21.51,21.55,21.5,57366,6.3529,21.83318964,0.0225,21.59476598,21.62221892,-0.016816495, , 2019-06-25 15:05:00, FLAT, , , , , , , , , , , , , , , 
21.545,21.53,21.585,21.525,77181,6.3529,21.79510257,0.0175,21.58481278,21.61486474,-0.009953196, , 2019-06-25 15:10:00, FLAT, , , , , , , , , , , , , , , 
21.44,21.545,21.55,21.42,46286,6.3529,21.76044334,-0.105,21.55585023,21.59821095,-0.028962557, , 2019-06-25 15:15:00, FLAT, , , , , , , , , , , , , , , 
21.335,21.43,21.45,21.29,91865,6.3529,21.72890344,-0.105,21.51168018,21.57314324,-0.044170045, , 2019-06-25 15:20:00, FLAT, , , , , , , , , , , , , , , 
21.385,21.33,21.43,21.315,82400,6.3529,21.68501309,0.05,21.48634415,21.55522484,-0.025336036, , 2019-06-25 15:25:00, FLAT, , , , , , , , , , , , , , , 
21.459,21.39,21.47,21.39,92163,6.3529,21.64551178,0.074,21.48087532,21.54606057,-0.005468829, , 2019-06-25 15:30:00, FLAT, , , , , , , , , , , , , , , 
21.44,21.46,21.49,21.405,77439,6.3529,21.60996061,-0.019,21.47270025,21.53595956,-0.008175063, , 2019-06-25 15:35:00, FLAT, , , , , , , , , , , , , , , 
