close, open, high, low, volume, atr14, psar, close_diff, ema_fast, ema_slow, ema_fast_diff, price_v_close, bar_time, position, alpha_imp1_ema_up, alpha_imp2_ema_pos_x, alpha_imp3_psar_up, alpha_imp4_close_up, alpha_imp6_price_v_close_thres, short_rev_imp1_rev_box, short_rev_imp2_ema_neg, short_rev_imp3_ema_neg_x, short_rev_imp4_close_neg, long_rev_imp1_rev_box, long_rev_imp2_ema_pos, long_rev_imp3_ema_pos_x, long_rev_imp4_close_pos, ,
6.43,6.4091,6.45,6.4055,44173,8.0909,6.1427,0.0231,6.349974679,2.84169,0.02000633, , 2019-06-25 10:10:00, FLAT, , , , , , , , , , , , , , , 
6.4477,6.4308,6.46,6.4145,33653,8.0909,6.148846,0.0177,6.369519743,3.185119524,0.019545064, , 2019-06-25 10:15:00, FLAT, , , , , , , , , , , , , , , 
6.46,6.4442,6.46,6.425,44396,8.0909,6.15818062,0.0123,6.387615794,3.497012902,0.018096051, , 2019-06-25 10:20:00, FLAT, , , , , , , , , , , , , , , 
6.5,6.4501,6.5,6.44,113496,8.0909,6.167235201,0.04,6.410092636,3.783011674,0.022476841, , 2019-06-25 10:25:00, FLAT, , , , , , , , , , , , , , , 
6.47,6.495,6.54,6.47,64891,8.0909,6.180545793,-0.03,6.422074108,4.038915324,0.011981473, , 2019-06-25 10:30:00, FLAT, , , , , , , , , , , , , , , 
6.525,6.4557,6.54,6.4557,35133,8.0909,6.198518504,0.055,6.442659287,4.275685293,0.020585178, , 2019-06-25 10:35:00, FLAT, , , , , , , , , , , , , , , 
6.5224,6.52,6.59,6.52,64982,8.0909,6.215592578,-0.0026,6.458607429,4.489658122,0.015948143, , 2019-06-25 10:40:00, FLAT, , , , , , , , , , , , , , , 
6.5631,6.53,6.59,6.53,49664,8.0909,6.238057024,0.0407,6.479505944,4.687128777,0.020898514, , 2019-06-25 10:45:00, FLAT, , , , , , , , , , , , , , , 
6.555,6.565,6.565,6.5131,39893,8.0909,6.259173602,-0.0081,6.494604755,4.865021275,0.015098811, , 2019-06-25 10:50:00, FLAT, , , , , , , , , , , , , , , 
6.58,6.55,6.59,6.55,29348,8.0909,6.279023186,0.025,6.511683804,5.028352582,0.017079049, , 2019-06-25 10:55:00, FLAT, , , , , , , , , , , , , , , 
6.675,6.58,6.68,6.58,117966,8.0909,6.297681795,0.095,6.544347043,5.185176145,0.032663239, , 2019-06-25 11:00:00, FLAT, , , , , , , , , , , , , , , 
6.68,6.68,6.72,6.61,74400,8.0909,6.324444069,0.005,6.571477634,5.327540322,0.027130591, , 2019-06-25 11:05:00, FLAT, , , , , , , , , , , , , , , 
6.7175,6.7,6.74,6.685,62105,8.0909,6.356088544,0.0375,6.600682108,5.459917434,0.029204473, , 2019-06-25 11:10:00, FLAT, , , , , , , , , , , , , , , 
6.74,6.73,6.74,6.7131,22343,8.0909,6.390640575,0.0225,6.628545686,5.58183006,0.027863578, , 2019-06-25 11:15:00, FLAT, , , , , , , , , , , , , , , 
6.6721,6.74,6.74,6.66,32914,8.0909,6.422082923,-0.0679,6.637256549,5.685665292,0.008710863, , 2019-06-25 11:20:00, FLAT, , , , , , , , , , , , , , , 
6.65,6.6702,6.6702,6.63,27942,8.0909,6.45069546,-0.0221,6.639805239,5.777506693,0.00254869, , 2019-06-25 11:25:00, FLAT, , , , , , , , , , , , , , , 
6.675,6.665,6.679,6.64,28374,8.0909,6.476732869,0.025,6.646844191,5.862982246,0.007038952, , 2019-06-25 11:30:00, FLAT, , , , , , , , , , , , , , , 
6.7338,6.68,6.74,6.68,45822,8.0909,6.50042691,0.0588,6.664235353,5.94591727,0.017391162, , 2019-06-25 11:35:00, FLAT, , , , , , , , , , , , , , , 
6.735,6.74,6.74,6.7201,27930,8.0909,6.521988489,0.0012,6.678388282,6.021068006,0.014152929, , 2019-06-25 11:40:00, FLAT, , , , , , , , , , , , , , , 
6.735,6.74,6.75,6.71,44565,8.0909,6.541609525,0,6.689710626,6.089061529,0.011322344, , 2019-06-25 11:45:00, FLAT, , , , , , , , , , , , , , , 
6.7497,6.74,6.75,6.73,20086,8.0909,6.562448572,0.0147,6.701708501,6.151979479,0.011997875, , 2019-06-25 11:50:00, FLAT, , , , , , , , , , , , , , , 
6.71,6.7401,6.7469,6.71,44020,8.0909,6.581203715,-0.0397,6.703366801,6.205124291,0.0016583, , 2019-06-25 11:55:00, FLAT, , , , , , , , , , , , , , , 
6.745,6.71,6.75,6.71,25899,8.0909,6.598083343,0.035,6.71169344,6.256541025,0.00832664, , 2019-06-25 12:00:00, FLAT, , , , , , , , , , , , , , , 
6.84,6.745,6.85,6.74,189224,8.0909,6.613275009,0.095,6.737354752,6.312108546,0.025661312, , 2019-06-25 12:05:00, FLAT, , , , , , , , , , , , , , , 
6.87,6.84,6.8766,6.8251,37757,8.0909,6.639314758,0.03,6.763883802,6.365241066,0.02652905, , 2019-06-25 12:10:00, FLAT, , , , , , , , , , , , , , , 
6.8228,6.87,6.87,6.78,27610,8.0909,6.667788987,-0.0472,6.775667042,6.408818107,0.01178324, , 2019-06-25 12:15:00, FLAT, , , , , , , , , , , , , , , 
6.7866,6.8001,6.82,6.78,12881,8.0909,6.692846309,-0.0362,6.777853633,6.444797335,0.002186592, , 2019-06-25 12:20:00, FLAT, , , , , , , , , , , , , , , 
6.8,6.79,6.82,6.78,22273,8.0909,6.714896752,0.0134,6.782282907,6.47862616,0.004429273, , 2019-06-25 12:25:00, FLAT, , , , , , , , , , , , , , , 
6.79,6.7928,6.8,6.77,23151,8.0909,6.734301141,-0.01,6.783826325,6.508280812,0.001543419, , 2019-06-25 12:30:00, FLAT, , , , , , , , , , , , , , , 
6.8,6.7937,6.8,6.7748,8723,8.0909,6.751377004,0.01,6.78706106,6.536063591,0.003234735, , 2019-06-25 12:35:00, FLAT, , , , , , , , , , , , , , , 
6.8,6.8,6.82,6.7881,10774,8.0909,6.766403764,0,6.789648848,6.561200392,0.002587788, , 2019-06-25 12:40:00, FLAT, , , , , , , , , , , , , , , 
6.77,6.8,6.8099,6.77,18260,8.0909,6.8766,-0.03,6.785719079,6.581086069,-0.00392977, , 2019-06-25 12:45:00, FLAT, , , , , , , , , , , , , , , 
6.8,6.77,6.8,6.7656,11239,8.0909,6.875534,0.03,6.788575263,6.601935015,0.002856184, , 2019-06-25 12:50:00, FLAT, , , , , , , , , , , , , , , 
6.7525,6.79,6.7916,6.74,16554,8.0909,6.87333532,-0.0475,6.78136021,6.616274537,-0.007215053, , 2019-06-25 12:55:00, FLAT, , , , , , , , , , , , , , , 
6.7492,6.75,6.75,6.725,9446,8.0909,6.86933526,-0.0033,6.774928168,6.628934105,-0.006432042, , 2019-06-25 13:00:00, FLAT, , , , , , , , , , , , , , , 
6.79,6.76,6.79,6.74,11170,8.0909,6.86356185,0.0408,6.777942535,6.644273714,0.003014366, , 2019-06-25 13:05:00, FLAT, , , , , , , , , , , , , , , 
6.8,6.7999,6.8,6.79,3592,8.0909,6.858019376,0.01,6.782354028,6.659104789,0.004411493, , 2019-06-25 13:10:00, FLAT, , , , , , , , , , , , , , , 
6.82,6.8,6.82,6.8,26808,8.0909,6.852698601,0.02,6.789883222,6.674428142,0.007529194, , 2019-06-25 13:15:00, FLAT, , , , , , , , , , , , , , , 
6.84,6.8199,6.84,6.8,56600,8.0909,6.847590657,0.02,6.799906578,6.690196891,0.010023356, , 2019-06-25 13:20:00, FLAT, , , , , , , , , , , , , , , 
6.83,6.84,6.85,6.81,44030,8.0909,6.725,-0.01,6.805925262,6.703511473,0.006018684, , 2019-06-25 13:25:00, FLAT, , , , , , , , , , , , , , , 
6.86,6.8373,6.88,6.8373,79349,8.0909,6.72625,0.03,6.81674021,6.718415142,0.010814948, , 2019-06-25 13:30:00, FLAT, , , , , , , , , , , , , , , 
6.85,6.855,6.87,6.84,23123,8.0909,6.729325,-0.01,6.823392168,6.730947033,0.006651958, , 2019-06-25 13:35:00, FLAT, , , , , , , , , , , , , , , 
6.86,6.86,6.87,6.85,6120,8.0909,6.7323385,0.01,6.830713734,6.743237792,0.007321566, , 2019-06-25 13:40:00, FLAT, , , , , , , , , , , , , , , 
6.875,6.841,6.875,6.841,17504,8.0909,6.73529173,0.015,6.839570987,6.755786574,0.008857253, , 2019-06-25 13:45:00, FLAT, , , , , , , , , , , , , , , 
6.86,6.875,6.9,6.86,39870,8.0909,6.738185895,-0.015,6.84365679,6.765711662,0.004085803, , 2019-06-25 13:50:00, FLAT, , , , , , , , , , , , , , , 
6.87,6.87,6.879,6.85,20469,8.0909,6.743040319,0.01,6.848925432,6.775643885,0.005268642, , 2019-06-25 13:55:00, FLAT, , , , , , , , , , , , , , , 
6.895,6.8783,6.9,6.8783,17016,8.0909,6.747749109,0.025,6.858140346,6.787011134,0.009214914, , 2019-06-25 14:00:00, FLAT, , , , , , , , , , , , , , , 
6.95,6.9,6.95,6.895,83757,8.0909,6.752316636,0.055,6.876512276,6.802533883,0.018371931, , 2019-06-25 14:05:00, FLAT, , , , , , , , , , , , , , , 
6.94,6.95,6.96,6.9285,38509,8.0909,6.76022397,-0.01,6.889209821,6.815625894,0.012697545, , 2019-06-25 14:10:00, FLAT, , , , , , , , , , , , , , , 
6.9201,6.9301,6.95,6.91,27961,8.0909,6.770212772,-0.0199,6.895387857,6.825575809,0.006178036, , 2019-06-25 14:15:00, FLAT, , , , , , , , , , , , , , , 
6.959,6.9337,6.96,6.93,17064,8.0909,6.779702133,0.0389,6.908110286,6.838282875,0.012722429, , 2019-06-25 14:20:00, FLAT, , , , , , , , , , , , , , , 
6.91,6.95,6.95,6.9,21177,8.0909,6.788717027,-0.049,6.908488228,6.845113077,0.000377943, , 2019-06-25 14:25:00, FLAT, , , , , , , , , , , , , , , 
6.89,6.9069,6.91,6.865,21563,8.0909,6.797281175,-0.02,6.904790583,6.849388022,-0.003697646, , 2019-06-25 14:30:00, FLAT, , , , , , , , , , , , , , , 
6.88,6.88,6.89,6.87,15689,8.0909,6.805417116,-0.01,6.899832466,6.852303449,-0.004958117, , 2019-06-25 14:35:00, FLAT, , , , , , , , , , , , , , , 
